epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5003,0.97154,2.40342,1.47985,0.16697,0.38909,0.28578,0.16556,1.07243,3.18222,1.85773,0.000472461,0.000472461,0.000472461
2,53.8029,1.04094,1.97288,1.54244,0.48614,0.5451,0.51273,0.29603,1.23981,2.87642,1.92764,0.000901829,0.000901829,0.000901829
3,78.3936,1.051,1.82768,1.54397,0.56714,0.6075,0.57625,0.35593,1.22557,2.12018,1.99972,0.00128404,0.00128404,0.00128404
4,102.553,1.04844,1.69881,1.5291,0.55761,0.5144,0.53863,0.2632,1.52595,2.49909,2.27632,0.00121679,0.00121679,0.00121679
5,126.882,1.03148,1.56862,1.52509,0.56459,0.75428,0.7317,0.47734,1.12651,1.72763,1.77557,0.00114606,0.00114606,0.00114606
6,151.89,1.00513,1.49144,1.48371,0.54805,0.67685,0.59947,0.33744,1.19316,1.84064,1.79221,0.00107532,0.00107532,0.00107532
7,177.358,0.94626,1.38206,1.45171,0.77919,0.67857,0.7879,0.54629,1.01384,1.32833,1.6686,0.00100459,0.00100459,0.00100459
8,202.904,0.92092,1.28048,1.43314,0.81363,0.71353,0.82471,0.60069,0.93823,1.128,1.57996,0.000933851,0.000933851,0.000933851
9,227.139,0.90607,1.24065,1.40772,0.65483,0.73501,0.7866,0.56117,0.96294,1.26216,1.57163,0.000863116,0.000863116,0.000863116
10,251.265,0.89273,1.16307,1.39154,0.72425,0.82086,0.86897,0.65089,0.83616,1.04678,1.46716,0.00079238,0.00079238,0.00079238
11,273.671,0.8104,1.13783,1.48283,0.71889,0.76891,0.83261,0.62205,0.91707,1.15182,1.60723,0.000721645,0.000721645,0.000721645
12,295.798,0.759,0.9681,1.42506,0.83473,0.86711,0.91735,0.68765,0.83736,0.89407,1.46631,0.000650909,0.000650909,0.000650909
13,318.007,0.71036,0.87833,1.36708,0.73183,0.89712,0.87883,0.67911,0.80131,0.83658,1.43766,0.000580174,0.000580174,0.000580174
14,341.1,0.67535,0.83166,1.33504,0.85807,0.71732,0.89321,0.70843,0.74882,0.9339,1.36099,0.000509438,0.000509438,0.000509438
15,363.902,0.63899,0.75724,1.2953,0.81157,0.84343,0.91838,0.73219,0.73696,0.80118,1.34588,0.000438703,0.000438703,0.000438703
16,386.329,0.63201,0.70365,1.29162,0.83874,0.87294,0.93686,0.73246,0.7107,0.71639,1.31155,0.000367967,0.000367967,0.000367967
17,408.561,0.58,0.64388,1.24769,0.88076,0.85417,0.93755,0.75638,0.69011,0.66816,1.28663,0.000297232,0.000297232,0.000297232
18,430.844,0.57473,0.60671,1.24339,0.87882,0.91437,0.94335,0.75786,0.69957,0.66497,1.28917,0.000226497,0.000226497,0.000226497
19,453.096,0.54413,0.57261,1.21677,0.87148,0.89698,0.94336,0.74987,0.68052,0.65426,1.27129,0.000155761,0.000155761,0.000155761
20,479.637,0.52334,0.55554,1.2137,0.92945,0.8887,0.96509,0.77933,0.67338,0.58451,1.26731,8.50255e-05,8.50255e-05,8.50255e-05
