epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6337,0.97154,2.40342,1.47985,0.16697,0.38909,0.28578,0.16556,1.07243,3.18222,1.85773,0.000472461,0.000472461,0.000472461
2,58.5295,1.03385,1.95831,1.52966,0.34021,0.56769,0.38496,0.22183,1.22075,3.67819,1.95408,0.000925311,0.000925311,0.000925311
3,83.6911,1.05429,1.84106,1.53694,0.51585,0.67045,0.63265,0.36093,1.32457,2.1097,2.023,0.00135458,0.00135458,0.00135458
