epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.2611,0.97992,2.91448,1.50382,0.44901,0.39867,0.39688,0.19826,1.37628,2.80384,2.19949,0.000474473,0.000474473,0.000474473
2,140.472,1.13328,2.48407,1.62784,0.35214,0.617,0.45072,0.22749,1.36657,2.8502,2.24915,0.000927274,0.000927274,0.000927274
3,191.458,1.21387,2.27165,1.6901,0.4242,0.53097,0.42482,0.21058,1.69507,2.35009,2.36118,0.0013565,0.0013565,0.0013565
4,244.624,1.19413,2.02924,1.6496,0.54742,0.61099,0.60408,0.38245,1.19212,1.71534,1.95985,0.0013229,0.0013229,0.0013229
5,295.049,1.16656,1.86102,1.63454,0.69944,0.52686,0.61328,0.36789,1.18933,1.81979,1.89921,0.00128753,0.00128753,0.00128753
6,344.758,1.13167,1.7371,1.59587,0.46633,0.67529,0.5978,0.37948,1.12696,1.6381,1.87756,0.00125216,0.00125216,0.00125216
7,394.754,1.09711,1.64275,1.55037,0.61541,0.61515,0.66562,0.43818,1.13086,1.38464,1.87596,0.00121679,0.00121679,0.00121679
8,445.191,1.06065,1.59318,1.54367,0.74057,0.62632,0.68792,0.47602,1.05299,1.40504,1.69233,0.00118143,0.00118143,0.00118143
9,495.323,1.0482,1.55506,1.51818,0.61949,0.68198,0.72052,0.48924,1.0985,1.32427,1.80101,0.00114606,0.00114606,0.00114606
10,545.173,1.03555,1.47944,1.50728,0.61725,0.58559,0.61523,0.3914,1.2706,1.51446,1.92911,0.00111069,0.00111069,0.00111069
11,595.354,0.99284,1.36127,1.47514,0.72413,0.70074,0.75343,0.51758,1.00415,1.22906,1.72566,0.00107532,0.00107532,0.00107532
12,645.234,0.9438,1.32638,1.4429,0.74165,0.75533,0.80082,0.54907,0.98594,1.18337,1.60847,0.00103995,0.00103995,0.00103995
13,695.197,0.94285,1.24907,1.4421,0.7304,0.71138,0.80288,0.56905,1.02721,1.02585,1.69477,0.00100459,0.00100459,0.00100459
14,746.815,0.91924,1.27812,1.40467,0.68005,0.69479,0.72333,0.49661,1.01475,1.19463,1.60066,0.000969219,0.000969219,0.000969219
15,798.012,0.90594,1.2209,1.42021,0.73743,0.84423,0.87579,0.62786,0.95483,0.96604,1.5641,0.000933851,0.000933851,0.000933851
16,850.875,0.88402,1.16131,1.38983,0.76965,0.79271,0.86727,0.6172,0.90919,0.92379,1.55997,0.000898484,0.000898484,0.000898484
17,903.287,0.89204,1.12246,1.39526,0.83214,0.79236,0.88062,0.66043,0.82366,0.92109,1.449,0.000863116,0.000863116,0.000863116
18,953.072,0.85076,1.09199,1.36226,0.82823,0.81868,0.89882,0.69609,0.80122,0.7437,1.41702,0.000827748,0.000827748,0.000827748
19,1003.19,0.86369,1.06527,1.37561,0.77292,0.71443,0.78848,0.60077,0.83536,0.91754,1.4634,0.00079238,0.00079238,0.00079238
20,1053.55,0.82223,1.04853,1.34191,0.82602,0.83727,0.88126,0.62927,0.91294,0.85452,1.51734,0.000757013,0.000757013,0.000757013
21,1103.7,0.82107,1.01214,1.33211,0.77928,0.88614,0.88528,0.64904,0.8265,0.84509,1.43741,0.000721645,0.000721645,0.000721645
22,1153.61,0.81334,0.97942,1.3494,0.83384,0.82898,0.88288,0.67383,0.84016,0.72718,1.44659,0.000686277,0.000686277,0.000686277
23,1203.14,0.79631,0.94339,1.32112,0.84178,0.89553,0.90253,0.69223,0.75999,0.70052,1.37533,0.000650909,0.000650909,0.000650909
24,1252.83,0.78701,0.96411,1.31746,0.81161,0.93851,0.9243,0.71874,0.78135,0.68605,1.39271,0.000615542,0.000615542,0.000615542
25,1302.72,0.76649,0.87782,1.29411,0.82717,0.88296,0.90529,0.71157,0.77872,0.69577,1.38829,0.000580174,0.000580174,0.000580174
26,1352.72,0.75586,0.885,1.27958,0.83551,0.86313,0.90164,0.71048,0.71298,0.65528,1.32864,0.000544806,0.000544806,0.000544806
27,1402.55,0.74253,0.8498,1.29143,0.88616,0.83276,0.92436,0.72994,0.74354,0.62288,1.34531,0.000509438,0.000509438,0.000509438
28,1452.24,0.75181,0.87725,1.28037,0.82101,0.88164,0.89771,0.69032,0.76936,0.67679,1.39113,0.000474071,0.000474071,0.000474071
29,1501.7,0.72063,0.81244,1.27254,0.79479,0.9432,0.91302,0.7135,0.75207,0.65431,1.37189,0.000438703,0.000438703,0.000438703
30,1551.71,0.71551,0.79536,1.2563,0.85788,0.91347,0.92957,0.71837,0.77377,0.62781,1.37822,0.000403335,0.000403335,0.000403335
31,1597.42,0.61982,0.70693,1.26796,0.87563,0.91064,0.93867,0.73289,0.70729,0.56389,1.32007,0.000367967,0.000367967,0.000367967
32,1643.34,0.59953,0.61067,1.28503,0.89651,0.86561,0.9189,0.72218,0.71083,0.60657,1.33315,0.0003326,0.0003326,0.0003326
33,1688.94,0.57826,0.57008,1.26919,0.83967,0.9003,0.93126,0.74779,0.70439,0.59112,1.32502,0.000297232,0.000297232,0.000297232
34,1734.69,0.5723,0.56911,1.2491,0.89642,0.85095,0.93154,0.74372,0.71928,0.56963,1.3376,0.000261864,0.000261864,0.000261864
35,1780.54,0.54342,0.55655,1.20978,0.88038,0.89201,0.92603,0.73718,0.70077,0.63676,1.31602,0.000226497,0.000226497,0.000226497
36,1826.62,0.52457,0.50866,1.20724,0.92128,0.88993,0.9288,0.73373,0.72095,0.57534,1.31608,0.000191129,0.000191129,0.000191129
37,1872.48,0.52418,0.50287,1.18973,0.89458,0.88633,0.92824,0.74513,0.6915,0.59256,1.29933,0.000155761,0.000155761,0.000155761
