epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.393,0.90933,2.11265,1.59407,0.45188,0.68873,0.5929,0.43259,0.73853,19.0193,1.23035,0.000416113,0.000416113,0.000416113
2,232.312,0.88592,1.14347,1.56108,0.65807,0.62274,0.72178,0.50569,0.78041,6.75271,1.23788,0.000750335,0.000750335,0.000750335
3,324.189,0.86407,0.89751,1.52992,0.78573,0.79486,0.83665,0.62666,0.69956,6.34541,1.19127,0.00100206,0.00100206,0.00100206
4,406.89,0.79893,0.75677,1.46022,0.72462,0.79446,0.86,0.66612,0.63387,4.17365,1.10868,0.00087875,0.00087875,0.00087875
5,488.104,0.7251,0.64064,1.39026,0.86638,0.81132,0.907,0.72327,0.62123,2.76386,1.08914,0.000755,0.000755,0.000755
6,570.299,0.66562,0.55048,1.32691,0.86929,0.83679,0.90853,0.74219,0.54685,3.86708,1.00012,0.00063125,0.00063125,0.00063125
7,652.377,0.60985,0.48341,1.2645,0.89119,0.89761,0.93075,0.76104,0.55202,3.03427,1.00687,0.0005075,0.0005075,0.0005075
8,734.312,0.56451,0.43221,1.21848,0.89646,0.91352,0.94244,0.77169,0.51392,5.99055,0.96797,0.00038375,0.00038375,0.00038375
9,820,0.51821,0.38251,1.17171,0.91527,0.90943,0.9487,0.77363,0.53805,2.74619,0.99735,0.00026,0.00026,0.00026
10,902.726,0.47617,0.33883,1.13572,0.93841,0.8928,0.95262,0.79365,0.49436,1.54036,0.93698,0.00013625,0.00013625,0.00013625
